Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
"Open Secret Zero Maida Chocolate Millet Biscuit, Healthy Snacks with No Refined Sugar & No Palm Oil",70.7,4.4,3.8,4.2,0.0,1.2,0.3,solid
Parle Hide & Seek Milano Choco Filled Hazelnut,478.1,29.9,13.8,33.5,118.0,4.3,0.0,solid
UNIBIC Sugar Free Multigrain Cookies,338.4,22.8,14.6,0.5,85.0,6.3,0.0,solid
Britannia Milk Bikis Biscuits,357.1,13.5,6.6,26.0,298.0,7.4,0.0,solid
Open Secret Zero Maida Jeera Millet Biscuit,62.3,3.3,3.0,3.8,54.0,1.4,0.3,solid
Palekar Buttery Shrewsbury Cookies,482.5,25.0,23.0,40.0,55.97,7.0,1.0,solid
The Baker's Dozen High Protein Peanut Butter Cookies Biscuits,510.0,35.0,12.0,23.0,90.0,12.0,4.0,solid
CookieMan Ragi Millet Jaggery Cookies,408.0,26.0,15.0,23.0,273.0,6.0,4.0,solid
Parle-G Original Gluco Biscuits,349.1,13.0,6.0,25.5,296.0,6.3,0.0,solid
Parle Elaichi Rusk,323.4,9.1,4.2,25.1,0.0,7.6,0.0,solid
Britannia Pure Magic Choco Stars,450.5,27.2,15.6,25.5,319.0,6.3,0.0,solid
Parle-G Gold Biscuit,365.5,14.6,6.8,27.7,281.0,6.7,0.0,solid
Parle-G Royale,369.4,15.5,7.2,27.3,268.0,6.5,0.0,solid
Britannia Good Day Chunkies Coconut Cookies,523.3,37.2,24.7,28.0,143.0,6.2,0.0,solid
Parle Krackjack Sweet and Salty Biscuits,386.9,19.9,9.4,19.6,371.0,6.8,0.0,solid
Parle Milk Shakti,361.8,14.7,6.8,24.5,261.0,7.3,0.0,liquid
Parle Nutricrunch Classic Digestive Cookies,233.1,20.0,9.2,14.8,0.0,6.5,6.0,liquid
Parle Monaco Classic Salty Biscuits,372.8,21.0,9.9,7.7,0.0,7.7,0.0,solid
Parle Hide & Seek Black Bourbon,403.9,16.2,8.3,42.8,0.0,5.2,0.0,solid
Parle Hide & Seek Creme Sandwiches,431.0,24.0,12.0,30.0,0.0,6.0,0.0,solid
Parle Hide & Seek Choco Roll Choco Rolls,454.6,25.1,11.7,38.3,227.0,4.5,0.0,solid
Parle Marie Biscuit,336.7,12.4,5.7,20.0,0.0,7.7,0.0,solid
Parle Hide & Seek Milano Cookies,446.9,25.8,13.4,31.5,192.0,4.4,0.0,solid
Britannia 5 Grain High-Fibre Biscuits Multigrain Digestive Biscuits,396.6,19.9,9.7,18.6,224.0,8.1,7.7,solid
Dukes Nibbles - Jeera Crackers,293.9,10.8,4.5,9.5,0.0,9.0,0.0,solid
Let'S Try Fruits Cake Rusk,400.1,20.15,11.85,24.61,129.12,7.46,3.46,solid
Palekar Tea Time Ajwain Toast,351.0,10.0,6.0,31.0,50.0,11.0,2.0,liquid
Palekar Makkhan Rusk,315.0,5.0,1.0,32.0,720.0,10.0,4.0,solid
Palekar Jaggery Toasted Buns,299.5,11.0,2.0,7.0,792.0,10.0,3.0,solid
Britannia Treat Orange Creme Sandwich Biscuits,424.9,20.5,9.0,37.9,140.0,4.8,0.0,solid
