Product_Name,Energy,Total_Fat,Saturated_Fat,Total_Sugars,Sodium,Protein,Dietary_Fiber,product_form
Lentil soup,92.1,11.68,3.5,1.06,10418.84,9.65,2.57,liquid
Chicken consomme (Clear chicken soup),103.6,12.02,4.21,0.54,8953.64,11.47,1.57,solid
Cream of tomato soup,122.2,13.12,8.13,1.81,4461.22,4.61,1.38,liquid
Cream of green peas soup,150.9,14.78,9.16,1.61,4999.7,7.13,2.95,liquid
Cream of spinach soup,124.6,13.31,8.25,1.13,4429.81,5.21,1.74,liquid
Cream of mixed vegetable soup,90.6,9.05,5.61,2.1,5655.45,6.84,2.14,liquid
Cream of mushroom soup,146.9,15.5,9.61,1.93,5276.06,6.64,1.34,liquid
Chicken sweet corn soup,100.8,12.59,4.41,0.27,12205.33,14.48,0.47,solid
Minestrone soup,93.8,11.09,3.33,1.01,8875.06,9.3,1.92,liquid
Egg drop soup,102.0,13.52,3.92,0.6,12418.84,12.93,0.81,solid
Chinese cabbage and meat ball soup,484.31,56.57,19.8,0.37,4249.41,5.21,0.57,solid
French onion soup,119.4,14.39,4.32,1.5,11202.89,11.41,1.01,liquid
Hot and sour soup,31.51,1.31,0.39,0.66,163.26,3.12,0.6,liquid
Talaumein soup,99.0,12.78,3.83,0.77,11088.14,10.12,1.94,liquid
Cold cucumber soup (Thanda kheere ka soup),48.03,1.99,0.58,3.34,121.32,2.99,0.88,liquid
Cold summer garden soup,107.9,14.08,4.22,0.46,9919.62,8.57,1.86,liquid
Chapati/Roti,137.2,3.56,1.07,1.0,1.16,5.88,6.31,solid
Plain parantha/paratha,242.3,16.86,5.06,0.86,62.07,5.06,5.43,solid
Potato parantha/paratha (Aloo ka parantha/paratha),162.4,10.22,3.07,1.15,127.2,3.7,4.18,solid
Radish parantha/paratha (Mooli ka parantha/paratha),148.2,9.53,2.86,1.31,127.03,3.3,4.32,solid
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),146.1,9.47,2.84,1.15,190.03,3.73,4.68,solid
Dal parantha/paratha,215.7,13.05,4.31,1.43,156.13,6.78,6.46,solid
Sprouted moong parantha/paratha,186.2,12.43,3.73,1.47,153.94,4.29,4.49,solid
Pea parantha/paratha (Matar ka parantha/paratha),154.3,8.8,2.64,1.29,109.99,5.59,5.61,solid
Keema parantha/paratha,205.9,13.91,4.87,0.99,140.62,9.41,3.44,solid
Paneer parantha/paratha,224.8,14.62,9.06,3.77,142.52,7.98,4.0,solid
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),180.7,12.09,3.63,1.31,177.19,5.54,4.39,solid
Poori,737.63,77.61,23.28,0.23,31.73,1.35,1.46,solid
Spinach poori (Palak poori),684.25,71.86,21.56,0.24,35.47,1.42,1.55,solid
Methi poori,710.02,74.6,22.38,0.26,35.37,1.45,1.61,solid
Dal stuffed poori,785.16,81.69,26.96,0.29,128.18,2.08,1.96,solid
Potato stuffed poori (Aloo ki poori),776.74,81.35,24.4,0.26,69.86,1.52,1.64,solid
Tandoori parantha/paratha,239.3,16.51,4.95,0.86,1.14,5.08,5.44,solid
Boiled rice (Uble chawal),66.3,0.18,0.05,0.22,1.05,2.6,1.25,solid
Plain pulao,99.6,4.62,1.39,1.15,193.76,2.34,1.69,solid
Mixed vegetable pulao,82.3,3.33,1.0,1.35,187.92,2.72,2.67,solid
Mushroom pulao,89.2,4.03,1.21,1.0,222.36,2.52,1.88,solid
Sprouted moong pulao,81.8,3.61,1.08,1.43,153.16,2.19,1.78,solid
Paneer pulao,581.91,59.81,37.08,1.11,72.28,1.98,0.62,solid
Peanut pulao,156.2,9.51,2.85,1.6,168.4,5.32,2.9,solid
